video_id,video_url,video_title,source,niche,window_index,start_s,end_s,duration_s,action_label,phase,n_seconds,vision_embed_text,transcript
0HfXl244xc4,https://www.youtube.com/watch?v=0HfXl244xc4,Sinkholes in Candles? Here’s How to Fix Them FAST!,corpus,candle_making,61,486.7,494.68,7.98,decorate_finish,finish,8,two candles on a wooden table with a knife,And then this one we have some bubbles. So we'll take the heat gun and we will melt a thin layer again and see if that is enough to get rid of the bubbles and
0HfXl244xc4,https://www.youtube.com/watch?v=0HfXl244xc4,Sinkholes in Candles? Here’s How to Fix Them FAST!,corpus,candle_making,63,502.66,510.64,7.98,decorate_finish,finish,8,two candles on a wooden table with a knife,the heat gun and did a thin layer again. Got rid of the bubbles and the one and then it filled in the sinkhole on the other. Now we'll wait and let these solidify again and
0HfXl244xc4,https://www.youtube.com/watch?v=0HfXl244xc4,Sinkholes in Candles? Here’s How to Fix Them FAST!,corpus,candle_making,64,510.64,518.62,7.98,decorate_finish,finish,8,two candles on a wooden table with a knife,and see if we need to go over them again with the heat gun. It does look like we are going to have a couple of bubbles to hit. One trick that you can do as they
0HfXl244xc4,https://www.youtube.com/watch?v=0HfXl244xc4,Sinkholes in Candles? Here’s How to Fix Them FAST!,corpus,candle_making,66,526.6,534.57,7.97,decorate_finish,finish,8,two candles are being made with a knife | two candles on a wooden table with a knife,actually a cold anymore. Sometimes they'll continue to bubble. So we'll come back to that and evaluate it once it solidifies again.
0HfXl244xc4,https://www.youtube.com/watch?v=0HfXl244xc4,Sinkholes in Candles? Here’s How to Fix Them FAST!,corpus,candle_making,78,622.34,630.32,7.98,decorate_finish,finish,8,a candle and a knife on a wooden table,All right. I think it's tricky to see on the camera about there is a bubble inside. So I'm just going to go ahead and smash that bubble out.
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,corpus,candle_making,19,152.38,160.4,8.02,set_wick,assemble,8,a bunch of tin cans filled with green liquid | a bunch of tin cans filled with yellow liquid,Whatever it looks like it's a little bit lower and these tins from Alibaba are a little more challenging because they don't really have that line to fill it up
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,corpus,candle_making,27,216.55,224.57,8.02,melt_wax,process,8,a group of coffee pots sitting on top of a scale,the audio quality is a little bit better. And these beakers are just unparalleled I think. You can get them in so many different
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,corpus,candle_making,43,344.87,352.89,8.02,cure_cool,assemble,8,a table with several cups and sticks on it,wig part of that should say on the candles to the left of this. And usually I am not that good. We're all going to get the mom that quickly. It usually
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,corpus,candle_making,48,384.97,392.99,8.02,cure_cool,assemble,8,a tray of candles with sticks sticking out of them | a table with several cups filled with candles | a table with several cups and sticks on it,Definitely is I found the most effective. And there are people who like to use pancake dispensers
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,corpus,candle_making,50,401.01,409.03,8.02,decorate_finish,finish,8,a table with several cups filled with candles,yet. And just so you all know the wicks on these are going to be the CD 14 and I do usually get them from candle science
